count,shelfId,bookCount
439,cktlm47t6121586uc7asdkb4n3l,9
440,cktn9owvg1136643yz7an1yi168t,21
441,ckss5m9hh7928741957ykuhn6qj,8
442,cku76vyoq417093nl7a5lhqxsbr,2
443,ckuzhxp6z12167961i8btz6l7xmf,1
444,ckuh7iykg3779334j7a6c0yv353,88
445,ckv2n5hpl1012194b88b11j6qac7,69
446,cktk9obhy366356nr7aq9qxtmdo,8
447,ckt61ax56802406rg7aqy8mkc2y,94
448,cku77hd4m446534nl7a2cjuxwjs,2
449,cktk8mbm9253228nr7am1q0ru4n,36
450,ckucqmasy136996a7aytqrszxo,22
451,cku18y5es1064432yz7amnzkbcul,5
452,cku0zgvwe694313yz7amqjeyzwn,28
453,cktimf1wi990491etpngjn9vtv,1
454,ckt4olr3v4182913rudd5jqgdc,4
455,ckuhd80gx6136744j7aypc7vlc3,1
456,cksu60caj182304l8ggkrbqnrb,1
457,ckt0hlp1h377714f7op56d7mgo,18
458,ckt20xm072077535t7ahweln9gv,9
459,ckv6zkek563177216wv9rrrpqxx,29
460,ckst15i391951019575ersmv23,9
461,ckuv0thup5166162j7aq4s14ksx,33
462,cksuoy1vs3220653n8gahq7vq4y,29
463,ckuzcmxbc14722161i8b5xg55stf,2
464,cksxfgbsj5793491k8gj7n2gi2j,40
465,ckt7oajz9111266zr7aw6sfnxz6,16
466,cku9toh1x39264813y78j3w6k34,5
467,ckv3ff7qe20647fr8be3grnwh2,30
468,ckuvnghta667326297aqutwx5ez,25
469,ckuojnk6d3918682j7aze655trn,5
470,ckud4h9qp165999757aja3hal8w,339
471,cktypa84w881800yz7arlsh5pc6,46
472,cku1kjtjm1609177yz7axt2zlwfu,1
473,cku73u0vb242306nl7andljrjrk,3
474,cku0121sg658489yz7ahuqmw6bg,12
475,cku771gzy425540nl7av9m0toto,2
476,ckv9arzg41695668z8bsgjxilvw,1
477,cku02u1r7823209yz7a2eueiel9,55
478,cktn8n4ed555051esvw875e4q2,7
479,ckgm1k8kt131850ybvc3gjgm9c,20
480,ckugitdd21372512w7adl7dba9l,21
481,ckt059a4x408448bt7ofb2xxmlp,19
482,ckryazguu5800761798wht3o3n2,3
483,cktztdbnf147990yz7ahhmxt3yo,204
484,cks7rrrc21309621k98rjkn6lgb,1
485,ckuwt3lhb9571801j7akkjyn8gj,20
486,ckubuji0k736024j7arqhrofef,1
487,ckuzmz6x1846305268b9ir804qy,4
488,ckurbjs7q14217312j7aszgyk439,10
489,cku4e4x4p11056113xwa97drdt0,3
490,cksa7pksi6558781k98gnglgqmv,9
491,cksw3x8tn8450433g8gfj8qbjfi,140
492,cksrlcqqz2025651957sddimigy,2
493,ckst8waxa3976941y8z9te9ikow,1
494,cksx6yad619316e8gom7h5g7j,7
495,cktmsq92u103858yz7aak3paxme,101
496,cku8g5qb8424743vp7ak1epy8az,243
497,cksvwk31d1181483g8ge9zkcvc5,12
498,ckux68icu93922914u6ikrhpg78,20
499,ckswl5ig4276831ewx4o2jgebh,13
500,ckvacb5lj173602dp8bitr7q3rx,3
501,cktg281zn49870y47ag81wjzvw,16
502,ckrlp8vcl783421183sis23udnu,18
503,cktb0d0na243333dq7aee2o2rs9,1
504,cksb8cezq43938dm98d8pvw1ak,1
505,cksxej02t3919171k8gajseucw4,22
506,ckuvsebpi414252v7asdzrysn7,88
507,ckuxwbc5t11806203f6p3qubuhks,1
508,ckt5xnw8l516917rg7a8ho1xtwc,4
509,ckupg3fi611228862j7apnnoyp3s,44
510,ckutpjd5z99877715sxpkfj4sbb,1
511,ckrlp9omm789628183shclkxmqk,3
512,ckv70ezx3807984wx8bq4gacoed,26
513,ckuns8hvv15538882j7ae7chm0yd,2
514,ckuxwj70d12348283f6p3fh7b949,77
515,ckrp1nwpr1079132178fuxaj15vu,72
516,ckssrslkr14375651957c5nb7do7,2
517,cksz9aw4d2587148q7ockc7de95,124
518,cksvymhch2367293g8gsuqiyggx,11
519,cksy65er32718841j8g64lnk3dj,3
520,ckuz3pcr468653813vwh9u3nhh3,66
521,ckt05746o394670bt7ou1r6owpi,32
522,ckro3s111447587178fc9jbunku,16
523,ckv9jq3dq1948299q8bnp952j8r,3
524,cksxdxi4f2999251k8gvnccrm1k,4
525,cksyi0ic64562613x5f18ris8k,6
526,ckryb04p45862711798e8qwfrm1,59
527,cku77mbr6454012nl7a5aasebsk,2
528,cksxe48bj3300741k8g8b9ovj00,2
529,cku6qhdhu140629mu7au41uu4xk,1
530,ckv1hwhj8946861i8bs20lz1fd,51
531,ckvaf2gtz68561el8b0yy7iha1,25
532,ckumwg9tr6792232j7a4xw5jtpo,24
533,ckst8l3z03240671y8z067l9uwa,1
534,ckv7ds62x646689yz8b2wqlppp7,1
535,ckst9osp35871631y8zqvvl2rzf,12
536,ckrxudce23116361798pj8qginl,64
537,ckumwfydx6760862j7an0rimf3v,71
538,cku2t9g0o1272506yz7at0zx4l6x,8
539,ckst809k61931911y8zoq5up7zn,1
540,ckuffzj89315625497ab5l4re5c,9
541,cksz4pfkx819447o7ohgqoe6fe,2
542,ckufft2p3274146497alzsivqcn,1
543,ckt86mtud70385913w3ivgexisi,14
